,year,month,size,cloud_cover
351,2005,4,29,10.0
352,2005,5,45,10.0
353,2005,6,106,10.0
354,2005,7,169,10.0
355,2005,8,147,10.0
356,2005,9,77,10.0
357,2005,10,31,10.0
358,2005,11,17,10.0
359,2005,12,0,10.0
360,2006,1,31,100.0
361,2006,2,67,100.0
362,2006,3,43,100.0
363,2006,4,105,100.0
364,2006,5,173,100.0
365,2006,6,228,100.0
366,2006,7,228,100.0
367,2006,8,250,100.0
368,2006,9,255,100.0
369,2006,10,180,100.0
370,2006,11,130,100.0
371,2006,12,103,100.0
372,2006,1,0,0.0
373,2006,2,0,0.0
374,2006,3,0,0.0
375,2006,4,0,0.0
376,2006,5,0,0.0
377,2006,6,0,0.0
378,2006,7,0,0.0
379,2006,8,0,0.0
380,2006,9,0,0.0
381,2006,10,0,0.0
382,2006,11,0,0.0
383,2006,12,0,0.0
384,2006,1,0,1.0
385,2006,2,2,1.0
386,2006,3,0,1.0
387,2006,4,3,1.0
388,2006,5,27,1.0
389,2006,6,76,1.0
390,2006,7,61,1.0
391,2006,8,59,1.0
392,2006,9,15,1.0
393,2006,10,4,1.0
394,2006,11,5,1.0
395,2006,12,0,1.0
396,2006,1,1,2.0
397,2006,2,3,2.0
398,2006,3,0,2.0
399,2006,4,7,2.0
400,2006,5,38,2.0
401,2006,6,90,2.0
402,2006,7,81,2.0
403,2006,8,71,2.0
404,2006,9,26,2.0
405,2006,10,10,2.0
406,2006,11,6,2.0
407,2006,12,0,2.0
408,2006,1,1,5.0
409,2006,2,3,5.0
410,2006,3,0,5.0
411,2006,4,8,5.0
412,2006,5,49,5.0
413,2006,6,113,5.0
414,2006,7,110,5.0
415,2006,8,92,5.0
416,2006,9,52,5.0
417,2006,10,14,5.0
418,2006,11,11,5.0
419,2006,12,5,5.0
420,2006,1,1,10.0
421,2006,2,6,10.0
422,2006,3,2,10.0
423,2006,4,14,10.0
424,2006,5,60,10.0
425,2006,6,130,10.0
426,2006,7,122,10.0
427,2006,8,120,10.0
428,2006,9,72,10.0
429,2006,10,21,10.0
430,2006,11,14,10.0
431,2006,12,8,10.0
432,2007,1,95,100.0
433,2007,2,102,100.0
434,2007,3,123,100.0
435,2007,4,145,100.0
436,2007,5,182,100.0
437,2007,6,212,100.0
438,2007,7,247,100.0
439,2007,8,250,100.0
440,2007,9,264,100.0
441,2007,10,40,100.0
442,2007,11,0,100.0
443,2007,12,0,100.0
444,2007,1,0,0.0
445,2007,2,0,0.0
446,2007,3,0,0.0
447,2007,4,0,0.0
448,2007,5,0,0.0
449,2007,6,0,0.0
450,2007,7,0,0.0
451,2007,8,0,0.0
452,2007,9,0,0.0
453,2007,10,0,0.0
454,2007,11,0,0.0
455,2007,12,0,0.0
456,2007,1,0,1.0
457,2007,2,2,1.0
458,2007,3,2,1.0
459,2007,4,8,1.0
460,2007,5,17,1.0
461,2007,6,92,1.0
462,2007,7,54,1.0
463,2007,8,93,1.0
464,2007,9,27,1.0
465,2007,10,1,1.0
466,2007,11,0,1.0
467,2007,12,0,1.0
468,2007,1,0,2.0
469,2007,2,5,2.0
470,2007,3,3,2.0
471,2007,4,9,2.0
472,2007,5,30,2.0
473,2007,6,109,2.0
474,2007,7,75,2.0
475,2007,8,109,2.0
476,2007,9,40,2.0
477,2007,10,2,2.0
478,2007,11,0,2.0
